Step,Time,Drone_Position,Current_Target,Distance_Error,Waypoint_Reached,Reward,Info
46,3.0403294563293457,"[0.172663614153862, 0.21792346239089966, 1.2337003946304321]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.379658,False,-4.379658222198486,"{'tracking_error': 4.379658, 'drone_position': [0.172663614153862, 0.21792346239089966, 1.2337003946304321], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
47,3.103332281112671,"[0.17918889224529266, 0.22664470970630646, 1.2385892868041992]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.375454,False,-4.375453948974609,"{'tracking_error': 4.375454, 'drone_position': [0.17918889224529266, 0.22664470970630646, 1.2385892868041992], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
48,3.166616439819336,"[0.18597090244293213, 0.23566198348999023, 1.2431646585464478]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.3711553,False,-4.371155261993408,"{'tracking_error': 4.3711553, 'drone_position': [0.18597090244293213, 0.23566198348999023, 1.2431646585464478], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
49,3.229588270187378,"[0.1928248107433319, 0.24517883360385895, 1.2475005388259888]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.3669925,False,-4.366992473602295,"{'tracking_error': 4.3669925, 'drone_position': [0.1928248107433319, 0.24517883360385895, 1.2475005388259888], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
50,3.292598247528076,"[0.1995401382446289, 0.2552309036254883, 1.2518413066864014]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.3631525,False,-4.363152503967285,"{'tracking_error': 4.3631525, 'drone_position': [0.1995401382446289, 0.2552309036254883, 1.2518413066864014], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
51,3.3536036014556885,"[0.20606212317943573, 0.26560911536216736, 1.2564446926116943]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.359601,False,-4.359601020812988,"{'tracking_error': 4.359601, 'drone_position': [0.20606212317943573, 0.26560911536216736, 1.2564446926116943], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
52,3.416367530822754,"[0.2125333547592163, 0.2760312855243683, 1.2613641023635864]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.3561144,False,-4.356114387512207,"{'tracking_error': 4.3561144, 'drone_position': [0.2125333547592163, 0.2760312855243683, 1.2613641023635864], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
53,3.479027271270752,"[0.21913766860961914, 0.2863471508026123, 1.266463041305542]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.352487,False,-4.352487087249756,"{'tracking_error': 4.352487, 'drone_position': [0.21913766860961914, 0.2863471508026123, 1.266463041305542], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
54,3.541815996170044,"[0.22599810361862183, 0.2965509593486786, 1.2715635299682617]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.348621,False,-4.348620891571045,"{'tracking_error': 4.348621, 'drone_position': [0.22599810361862183, 0.2965509593486786, 1.2715635299682617], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
55,3.605638265609741,"[0.23317846655845642, 0.3067292869091034, 1.2765096426010132]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.344497,False,-4.344497203826904,"{'tracking_error': 4.344497, 'drone_position': [0.23317846655845642, 0.3067292869091034, 1.2765096426010132], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
